layer_type,method,local_port,remote_port,req_content_length,resp_content_length,resp_vary,status_code,target,content_length_ratio,large_req,large_resp
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
Unknown,POST,1234,38842,95,62,Origin,401,ssrf,0.6526315789473685,0,1
Unknown,POST,1234,38842,89,62,Origin,401,ssrf,0.6966292134831461,0,1
Unknown,POST,1234,40184,79,50,Origin,401,ssrf,0.6329113924050633,0,0
Unknown,POST,1234,40184,48,62,Origin,401,ssrf,1.2916666666666667,0,1
Unknown,POST,1234,40184,59,62,Origin,401,ssrf,1.0508474576271187,0,1
SINGLE_LAYERED,POST,1234,40184,66,62,Origin,401,xss,0.9393939393939394,0,1
Unknown,POST,1234,40184,67,62,Origin,401,ssrf,0.9253731343283582,0,1
Unknown,POST,1234,40184,70,62,Origin,401,ssrf,0.8857142857142857,0,1
Unknown,POST,1234,40184,66,62,Origin,401,ssrf,0.9393939393939394,0,1
Unknown,POST,1234,40184,69,62,Origin,401,ssrf,0.8985507246376812,0,1
Unknown,POST,1234,40184,68,62,Origin,401,ssrf,0.9117647058823529,0,1
SINGLE_LAYERED,POST,1234,40184,89,33,Origin,200,sql_injection,0.3707865168539326,0,0
Unknown,POST,1234,40184,71,62,Origin,401,ssrf,0.8732394366197183,0,1
Unknown,POST,1234,40184,67,62,Origin,401,ssrf,0.9253731343283582,0,1
Unknown,POST,1234,40184,70,62,Origin,401,ssrf,0.8857142857142857,0,1
Unknown,POST,1234,40184,66,62,Origin,401,ssrf,0.9393939393939394,0,1
Unknown,POST,1234,40184,69,62,Origin,401,ssrf,0.8985507246376812,0,1
SINGLE_LAYERED,POST,1234,40830,194,50,Origin,401,xss,0.25773195876288657,1,0
SINGLE_LAYERED,POST,1234,40830,194,33,Origin,200,xss,0.17010309278350516,1,0
SINGLE_LAYERED,POST,1234,40830,233,50,Origin,401,xss,0.2145922746781116,1,0
SINGLE_LAYERED,POST,1234,32982,233,50,Origin,401,xss,0.2145922746781116,1,0
SINGLE_LAYERED,POST,1234,32982,89,33,Origin,200,sql_injection,0.3707865168539326,0,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,32982,233,33,Origin,200,xss,0.14163090128755365,1,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,148,50,Origin,401,xss,0.33783783783783783,0,0
SINGLE_LAYERED,POST,1234,38344,149,50,Origin,401,xss,0.33557046979865773,0,0
SINGLE_LAYERED,POST,1234,38344,149,50,Origin,401,xss,0.33557046979865773,0,0
SINGLE_LAYERED,POST,1234,38344,149,50,Origin,401,xss,0.33557046979865773,0,0
SINGLE_LAYERED,POST,1234,38344,149,50,Origin,401,xss,0.33557046979865773,0,0
SINGLE_LAYERED,POST,1234,38344,89,33,Origin,200,sql_injection,0.3707865168539326,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,149,33,Origin,200,xss,0.2214765100671141,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,151,50,Origin,401,xss,0.33112582781456956,1,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,151,33,Origin,200,xss,0.2185430463576159,1,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,132,33,Origin,200,xss,0.25,0,0
SINGLE_LAYERED,POST,1234,38344,175,50,Origin,401,xss,0.2857142857142857,1,0
SINGLE_LAYERED,POST,1234,38344,175,50,Origin,401,xss,0.2857142857142857,1,0
SINGLE_LAYERED,POST,1234,38344,175,50,Origin,401,xss,0.2857142857142857,1,0
SINGLE_LAYERED,POST,1234,38344,175,50,Origin,401,xss,0.2857142857142857,1,0
SINGLE_LAYERED,POST,1234,38344,175,50,Origin,401,xss,0.2857142857142857,1,0
SINGLE_LAYERED,POST,1234,38344,89,33,Origin,200,sql_injection,0.3707865168539326,0,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,38344,175,33,Origin,200,xss,0.18857142857142858,1,0
SINGLE_LAYERED,POST,1234,45610,89,33,Origin,200,sql_injection,0.3707865168539326,0,0
SINGLE_LAYERED,POST,1234,45610,89,33,Origin,200,sql_injection,0.3707865168539326,0,0
Unknown,POST,1234,45610,48,62,Origin,401,ssrf,1.2916666666666667,0,1
SINGLE_LAYERED,POST,1234,45610,48,62,Origin,401,sql_injection,1.2916666666666667,0,1
Unknown,POST,1234,45610,59,62,Origin,401,ssrf,1.0508474576271187,0,1
SINGLE_LAYERED,POST,1234,45610,66,62,Origin,401,xss,0.9393939393939394,0,1
Unknown,POST,1234,45610,67,62,Origin,401,ssrf,0.9253731343283582,0,1
Unknown,POST,1234,45610,70,62,Origin,401,ssrf,0.8857142857142857,0,1
Unknown,POST,1234,45610,66,62,Origin,401,ssrf,0.9393939393939394,0,1
Unknown,POST,1234,45610,69,62,Origin,401,ssrf,0.8985507246376812,0,1
Unknown,POST,1234,45610,68,62,Origin,401,ssrf,0.9117647058823529,0,1
Unknown,POST,1234,45610,71,62,Origin,401,ssrf,0.8732394366197183,0,1
Unknown,POST,1234,45610,67,62,Origin,401,ssrf,0.9253731343283582,0,1
Unknown,POST,1234,45610,70,62,Origin,401,ssrf,0.8857142857142857,0,1
Unknown,POST,1234,45610,66,62,Origin,401,ssrf,0.9393939393939394,0,1
Unknown,POST,1234,45610,69,62,Origin,401,ssrf,0.8985507246376812,0,1
SINGLE_LAYERED,POST,1234,45610,87,62,Origin,401,sql_injection,0.7126436781609196,0,1
SINGLE_LAYERED,POST,1234,45610,87,62,Origin,401,sql_injection,0.7126436781609196,0,1
SINGLE_LAYERED,POST,1234,45610,86,64,Origin,403,sql_injection,0.7441860465116279,0,1
SINGLE_LAYERED,POST,1234,45610,86,33,Origin,200,sql_injection,0.38372093023255816,0,0
SINGLE_LAYERED,POST,1234,45610,86,33,Origin,200,sql_injection,0.38372093023255816,0,0
SINGLE_LAYERED,POST,1234,45610,77,64,Origin,403,sql_injection,0.8311688311688312,0,1
